question,True/False,ActualAnswer,Language
Was La Sasson created by Alexandre Falguière?,True,Alexandre Falguière,EN
Was La Sasson completed in 1840?,False,1892,EN
Was Grondwetbank created by Pi de Bruijn?,True,Pi de Bruijn,EN
Was Grondwetbank completed in 1992?,True,1992,EN
Was Statue de Masséna created by Albert-Ernest Carrier-Belleuse?,True,Albert-Ernest Carrier-Belleuse,EN
Was Statue de Masséna completed in 1867?,True,1867,EN
Was Monument to Giuseppe Garibaldi created by Melinda Garcia?,False,Arnoldo Zocchi,EN
Was Monument to Giuseppe Garibaldi completed in 1906?,False,1950,EN
Was Bevrijdingsmonument Winsum created by Antonio León Ortega?,False,Wladimir de Vries,EN
Was Bevrijdingsmonument Winsum completed in 1947?,True,1947,EN
Was Verzetsmonument (Wildervank) created by Wladimir de Vries?,True,Wladimir de Vries,EN
Was Verzetsmonument (Wildervank) completed in 1948?,True,1948,EN
Was Schillerdenkmal created by Horace W. Peaslee?,False,Wilhelm Engelhard,EN
Was Schillerdenkmal completed in 1969?,False,1863,EN
Was Horse Rider Memorial created by Willibald Fritsch?,True,Willibald Fritsch,EN
Was Horse Rider Memorial completed in 1712?,False,1925,EN
Was Fournier Museum of Playing Cards created by Joseph Edgar Boehm?,False,Álava Foral Council,EN
Was Fournier Museum of Playing Cards completed in 1986?,True,1986,EN
Was National Slavery Memorial created by Erwin de Vries?,True,Erwin de Vries,EN
Was National Slavery Memorial completed in 2002?,True,2002,EN
Was Monument to the Marchand Expedition created by Josep Busquets i Òdena?,False,Roger-Henri Expert,EN
Was Monument to the Marchand Expedition completed in 1841?,False,1934,EN
Was Ladislao di Durazzo's tomb created by Razmik Alaverdyan?,False,Andrea Guardi,EN
Was Ladislao di Durazzo's tomb completed in 1414?,True,1414,EN
Was Monument of Manzoni created by Julio González Pola?,False,Francesco Confalonieri,EN
Was Monument of Manzoni completed in 1891?,True,1891,EN
Was Obelisk of São Paulo created by Galileo Emendabili?,True,Galileo Emendabili,EN
Was Obelisk of São Paulo completed in 1955?,True,1955,EN
Was Monumento ai caduti del VIII Agosto 1848 created by Oleg Konstantinovich Komov?,False,Pasquale Rizzoli,EN
Was Monumento ai caduti del VIII Agosto 1848 completed in 1923?,False,1903,EN
Was Monument to the Italian Resistance created by Alfred Manessier?,False,Marino Mazzacurati,EN
Was Monument to the Italian Resistance completed in 1954?,True,1954,EN
Was Emma Monument created by Carel Kneulman?,False,Henk Etienne,EN
Was Emma Monument completed in 1769?,False,1937,EN
Was Monument to the Conquerors of Space created by Jan Bartoš?,False,Andrej Petrovič Fajdyš-Krandijevský,EN
Was Monument to the Conquerors of Space completed in 1337?,False,1964,EN
Was Titanic Engineers' Memorial created by Ladislav Šaloun?,False,Ferdinand Victor Blundstone,EN
Was Titanic Engineers' Memorial completed in 1912?,True,1912,EN
Was Vietnam Women's Memorial created by Max Bill?,False,Glenna Goodacre,EN
Was Vietnam Women's Memorial completed in 1993?,True,1993,EN
Was Columbus Monument created by Paul E. M. DuBoy?,False,Gaietà Buïgas i Monravà,EN
Was Columbus Monument completed in 1889?,True,1889,EN
Was Cruz Caída created by Alexander Rukavishnikov?,False,Mário Cravo,EN
Was Cruz Caída completed in 1999?,True,1999,EN
Was Monument of Liberty created by Georgi Kiselinchev?,True,Georgi Kiselinchev,EN
Was Monument of Liberty completed in 1996?,False,1909,EN
Was Selamat Datang Monument created by Edhi Sunarso?,True,Edhi Sunarso,EN
Was Selamat Datang Monument completed in 1961?,True,1961,EN
Was Victory Monument in Netanya created by Anatole Guillot?,False,Salavat Chtcherbakov,EN
Was Victory Monument in Netanya completed in 2012?,True,2012,EN
Was Aquaduct created by Jan Styka?,False,Susanna Heron,EN
Was Aquaduct completed in 2006?,True,2006,EN
Was monument to Komitas created by Josef Max?,False,David Erevantzi,EN
Was monument to Komitas completed in 2003?,True,2003,EN
Was Netherlands Carillon created by Gustav Seitz?,False,Joost Boks,EN
Was Netherlands Carillon completed in 1954?,True,1954,EN
Was Canapone monument created by Christa Baumgärtel?,False,Luigi Magi,EN
Was Canapone monument completed in 1846?,True,1846,EN
Was Soldiers' and Sailors' Monument created by Valentin Grigorevitsj Sjtolko?,False,Paul E. M. DuBoy,EN
Was Soldiers' and Sailors' Monument completed in 1900?,True,1900,EN
Was Millennium created by Józef Gosławski?,False,Gerardo Porto,EN
Was Millennium completed in 2000?,True,2000,EN
Was Jewish monument created by Richard Westmacott?,False,Dirk Hakze,EN
Was Jewish monument completed in 2010?,True,2010,EN
Was Terp of Leidschenveen created by Laurens Kolks?,True,Laurens Kolks,EN
Was Terp of Leidschenveen completed in -032?,False,2009,EN
Was Tabernáculo del Hospital Tavera (El Greco) created by El Greco?,True,El Greco,EN
Was Tabernáculo del Hospital Tavera (El Greco) completed in 1595?,True,1595,EN
Was Nicolaus Copernicus Monument in Warsaw created by Pietro Canonica?,False,Bertel Thorvaldsen,EN
Was Nicolaus Copernicus Monument in Warsaw completed in 1850?,True,1850,EN
Was Frederick the Great Memorial created by Johann Gottfried Schadow?,True,Johann Gottfried Schadow,EN
Was Frederick the Great Memorial completed in 1837?,False,1793,EN
Was Monument to Johann Strauss II created by Jaroslav Kovář mladší?,False,Edmund von Hellmer,EN
Was Monument to Johann Strauss II completed in 1921?,True,1921,EN
Was Ernst-August-Denkmal created by Albert Wolff?,True,Albert Wolff,EN
Was Ernst-August-Denkmal completed in 1924?,False,1861,EN
Was Pobednik created by Timothy Behrens?,False,Ivan Meštrović,EN
Was Pobednik completed in 1928?,True,1928,EN
Was Niederwalddenkmal created by Johannes Schilling?,True,Johannes Schilling,EN
Was Niederwalddenkmal completed in 1883?,True,1883,EN
Was Schiller Monument (Berlin) created by Reinhold Begas?,True,Reinhold Begas,EN
Was Schiller Monument (Berlin) completed in 1869?,True,1869,EN
Was Prussian National Monument for the Liberation Wars created by Nusret Suman?,False,Christian Daniel Rauch,EN
Was Prussian National Monument for the Liberation Wars completed in 1821?,True,1821,EN
Was equestrian statue of Frederick the Great created by Vladimir Grachyov?,False,Christian Daniel Rauch,EN
Was equestrian statue of Frederick the Great completed in 1851?,True,1851,EN
Was First Division Monument created by Daniel Chester French?,True,Daniel Chester French,EN
Was First Division Monument completed in 1924?,True,1924,EN
Was Isted Lion created by Ivan Pershudchev?,False,Herman Wilhelm Bissen,EN
Was Isted Lion completed in 1860?,True,1860,EN
Was Maisonneuve Monument created by Thiébaut Frères?,True,Thiébaut Frères,EN
Was Maisonneuve Monument completed in 1924?,False,1891,EN
Was Monument to Prince Józef Poniatowski in Warsaw created by Bertel Thorvaldsen?,True,Bertel Thorvaldsen,EN
Was Monument to Prince Józef Poniatowski in Warsaw completed in 1826?,True,1826,EN
Was Memorial Frederick I of Prussia created by Robert Mills?,False,Johann Gottfried Schadow,EN
Was Memorial Frederick I of Prussia completed in 1698?,True,1698,EN
Was Kyffhäuser Monument created by Josep Oriol Mestres i Esplugas?,False,Bruno Schmitz,EN
Was Kyffhäuser Monument completed in 1882?,False,1890,EN
Was Monument against war and fascism created by Bronisław Koniuszy?,False,Alfred Hrdlicka,EN
Was Monument against war and fascism completed in 1991?,True,1991,EN
Was Hermannsdenkmal created by Ernst von Bandel?,True,Ernst von Bandel,EN
Was Hermannsdenkmal completed in 2013?,False,1875,EN
Was Erlach memorial created by Joseph Simon Volmar?,True,Joseph Simon Volmar,EN
Was Erlach memorial completed in 1855?,False,1849,EN
Was Denkmal für Deserteure und Opfer der NS-Militärjustiz created by Benediktas Gylys Foundation?,False,Ruedi Baur,EN
Was Denkmal für Deserteure und Opfer der NS-Militärjustiz completed in 1981?,False,2009,EN
Was Worker and Kolkhoz Woman created by Rolf Hochhuth?,False,Vera Mukhina,EN
Was Worker and Kolkhoz Woman completed in 1937?,True,1937,EN
Was Goethe Monument created by Fritz Schaper?,True,Fritz Schaper,EN
Was Goethe Monument completed in 1880?,True,1880,EN
Was Väter der Einheit created by Serge Mangin?,True,Serge Mangin,EN
Was Väter der Einheit completed in 1911?,False,2010,EN
Was Fontana dei Dioscuri created by Leo Steck?,False,Domenico Fontana,EN
Was Fontana dei Dioscuri completed in 1991?,False,1588,EN
Was Stalin Monument created by Adibek Grigoryan?,False,Sándor Mikus,EN
Was Stalin Monument completed in 1951?,True,1951,EN
Was Al-Shaheed Monument created by Antonio León Ortega?,False,Ismail Fatah Al Turk,EN
Was Al-Shaheed Monument completed in 1703?,False,1983,EN
Was Peter I Monument in Taganrog created by Robert Henze?,False,Mark Antokolski,EN
Was Peter I Monument in Taganrog completed in 1872?,True,1872,EN
Was National Monument on Dam Square created by Jacobus Oud?,True,Jacobus Oud,EN
Was National Monument on Dam Square completed in 1956?,True,1956,EN
Was Balanceakt by Stephan Balkenhol created by Robert Henze?,False,Stephan Balkenhol,EN
Was Balanceakt by Stephan Balkenhol completed in 2009?,True,2009,EN
Was Monument to Dante in Trento created by Andreas Schlüter?,False,Paolo Troubetzkoy,EN
Was Monument to Dante in Trento completed in 2020?,False,1891,EN
"Was Vakhtang Gorgasali's statue, Tbilisi created by Alfred Lanz?",False,Elguja Amashukeli,EN
"Was Vakhtang Gorgasali's statue, Tbilisi completed in 1961?",True,1961,EN
Was Sigismund's Column created by Augustyn Locci?,True,Augustyn Locci,EN
Was Sigismund's Column completed in 1644?,True,1644,EN
Was Mother Albania created by Pericle Fazzini?,False,Muntaz Dhrami,EN
Was Mother Albania completed in 1971?,True,1971,EN
Was Skanderbeg Monument created by Mieczysław Welter?,False,Odhise Paskali,EN
Was Skanderbeg Monument completed in 1968?,True,1968,EN
Was Heinrich Heine Monument created by Waldemar Grzimek?,True,Waldemar Grzimek,EN
Was Heinrich Heine Monument completed in 1865?,False,1955,EN
Was Monument to the Ghetto Heroes created by Nathan Rapoport?,True,Nathan Rapoport,EN
Was Monument to the Ghetto Heroes completed in 1975?,False,1948,EN
"Was Adam Mickiewicz Monument, Warsaw created by Louis Bancel?",False,Cyprian Godebski,EN
"Was Adam Mickiewicz Monument, Warsaw completed in 1917?",False,1898,EN
Was Zähringer memorial created by Jakob Friedrich Studer?,True,Jakob Friedrich Studer,EN
Was Zähringer memorial completed in 2017?,False,1847,EN
Was Berna fountain created by Ivan Vasilevitsj Brovdi?,False,Jakob Friedrich Studer,EN
Was Berna fountain completed in 1863?,True,1863,EN
Was Monument to Minin and Pozharsky created by Ivan Martos?,True,Ivan Martos,EN
Was Monument to Minin and Pozharsky completed in 1818?,True,1818,EN
Was Millennium Monument created by Hugo Lederer?,False,György Zala,EN
Was Millennium Monument completed in 1500?,True,1500,EN
Was Columbus Circle created by William Phelps Eno?,True,William Phelps Eno,EN
Was Columbus Circle completed in 2018?,False,1892,EN
Was Statue of John Henry Newman created by Léon-Joseph Chavalliaud?,True,Léon-Joseph Chavalliaud,EN
Was Statue of John Henry Newman completed in 1895?,True,1895,EN
Was Universal Post Monument created by Giò Pomodoro?,False,René de Saint-Marceaux,EN
Was Universal Post Monument completed in 1909?,True,1909,EN
Was Germaniadenkmal in Dresden created by Robert Henze?,True,Robert Henze,EN
Was Germaniadenkmal in Dresden completed in 1880?,True,1880,EN
Was Freedom Monument created by Kārlis Zāle?,True,Kārlis Zāle,EN
Was Freedom Monument completed in 1969?,False,1935,EN
Was Victoria Memorial created by Edmond Tigranyan?,False,Thomas Brock,EN
Was Victoria Memorial completed in 2011?,False,1901,EN
Was Monument aux Girondins created by Ömer Eldarov?,False,Alphonse Dumilatre,EN
Was Monument aux Girondins completed in 1822?,False,1902,EN
Was Monument of the Five Days of Milan created by William Goscombe John?,False,Giuseppe Grandi,EN
Was Monument of the Five Days of Milan completed in 1849?,False,1895,EN
Was monument to Yuri Gagarin created by Pavel Bondarenko?,True,Pavel Bondarenko,EN
Was monument to Yuri Gagarin completed in 1864?,False,1980,EN
Was Kalinin monument created by J. Massey Rhind?,False,Boris Vasilevitsj Edoenov,EN
Was Kalinin monument completed in 1926?,False,1959,EN
Was Gefion Fountain created by Léon-Joseph Chavalliaud?,False,Anders Bundgaard,EN
Was Gefion Fountain completed in 1908?,True,1908,EN
Was Torre Monumental created by Akop Albertovitsj Halafjan?,False,Ambrose Macdonald Poynter,EN
Was Torre Monumental completed in 1935?,False,1916,EN
Was Padrão dos Descobrimentos created by Leopoldo de Almeida?,True,Leopoldo de Almeida,EN
Was Padrão dos Descobrimentos completed in 1874?,False,1960,EN
Was Frederic Chopin Monument in Warsaw created by Dante Parini?,False,Wacław Szymanowski,EN
Was Frederic Chopin Monument in Warsaw completed in 1926?,True,1926,EN
Was Children's Peace Monument created by Kiyoshi Ikebe?,True,Kiyoshi Ikebe,EN
Was Children's Peace Monument completed in 1958?,True,1958,EN
Was Bubenberg memorial created by Max Leu?,True,Max Leu,EN
Was Bubenberg memorial completed in 1907?,False,1897,EN
Was Zero Milestone created by Horace W. Peaslee?,True,Horace W. Peaslee,EN
Was Zero Milestone completed in 1923?,True,1923,EN
Was Heimkehrerdenkmal created by Wilhelm Wurzer?,True,Wilhelm Wurzer,EN
Was Heimkehrerdenkmal completed in 1811?,False,1976,EN
Was Abensbergerdenkmal created by Juan Oliveira?,False,Max Einsele,EN
Was Abensbergerdenkmal completed in 1970?,False,1804,EN
Was Frédéric Chopin monument in Żelazowa Wola created by Józef Gosławski?,True,Józef Gosławski,EN
Was Frédéric Chopin monument in Żelazowa Wola completed in 1969?,True,1969,EN
Was Denkzeichen Georg Elser created by Rolf Hochhuth?,True,Rolf Hochhuth,EN
Was Denkzeichen Georg Elser completed in 2011?,True,2011,EN
Was Monument to Nicholas I created by Gerardo Porto?,False,Peter Clodt Von Jürgensburg,EN
Was Monument to Nicholas I completed in 1433?,False,1856,EN
Was Monument to Maxim Gorky (Twerskaja Sastawa Platz) created by Vera Mukhina?,True,Vera Mukhina,EN
Was Monument to Maxim Gorky (Twerskaja Sastawa Platz) completed in 1939?,True,1939,EN
Was Monument to Peter the Great in Arkhangelsk created by Valdis Albergas?,False,Mark Antokolski,EN
Was Monument to Peter the Great in Arkhangelsk completed in 1914?,True,1914,EN
Was Monument to Catherine II created by Leo Steck?,False,Mark Antokolski,EN
Was Monument to Catherine II completed in 1904?,True,1904,EN
Was Tondi Boys created by Jan Kucz?,False,Amandus Adamson,EN
Was Tondi Boys completed in 1745?,False,2009,EN
Was Friedrich Reinhold Kreutzwald monument created by Gerardo Porto?,False,Amandus Adamson,EN
Was Friedrich Reinhold Kreutzwald monument completed in 1955?,False,1926,EN
Was Monument to Lenin at the entrance of the Volga-Don canal created by Yevgeny Viktorovich Vuchetich?,True,Yevgeny Viktorovich Vuchetich,EN
Was Monument to Lenin at the entrance of the Volga-Don canal completed in 1970?,False,1973,EN
Was Eternal flame in Yaroslavl created by Lev Kerbel?,True,Lev Kerbel,EN
Was Eternal flame in Yaroslavl completed in 1848?,False,1968,EN
Was Monument to Karl Marx at the Revolution Square created by Lev Kerbel?,True,Lev Kerbel,EN
Was Monument to Karl Marx at the Revolution Square completed in 1961?,True,1961,EN
Was Monument of Alexandre III created by Muntaz Dhrami?,False,Paolo Troubetzkoy,EN
Was Monument of Alexandre III completed in 2003?,False,1909,EN
Was Independence Monument created by Napoleon?,False,Muntaz Dhrami,EN
Was Independence Monument completed in 1972?,True,1972,EN
Was Den tapre Landsoldat created by Augustus Saint-Gaudens?,False,Herman Wilhelm Bissen,EN
Was Den tapre Landsoldat completed in 1858?,True,1858,EN
Was Monument to Lomonosov in Arkhangelsk created by Ivan Martos?,True,Ivan Martos,EN
Was Monument to Lomonosov in Arkhangelsk completed in 1962?,False,1832,EN
Was Yermak Monument created by Paul Landowski?,False,Mikhail Mikeshin,EN
Was Yermak Monument completed in 1859?,False,1904,EN
Was Monument to Bohdan Khmelnytsky in Kyiv created by Mikhail Mikeshin?,True,Mikhail Mikeshin,EN
